开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20100129,440,23.1242,20100226,23.6308
20100129,2356,7.047,20100226,6.8166
20100129,5,49.5426,20100226,51.2099
20100226,440,23.6308,20100331,24.5545
20100226,2356,6.8166,20100331,7.318
20100226,5,51.2099,20100331,47.4911
20100331,440,24.5545,20100430,26.2233
20100331,2356,7.318,20100430,7.0335
20100331,5,47.4911,20100430,48.0922
20100430,440,26.2233,20100531,24.5843
20100430,2356,7.0335,20100531,6.7624
20100430,5,48.0922,20100531,42.9591
20100531,440,24.5843,20100630,26.7001
20100531,2356,6.7624,20100630,6.6337
20100531,5,42.9591,20100630,44.1414
20100630,626,2.489,20100730,2.7187
20100630,440,26.7001,20100730,28.1602
20100630,2356,6.6337,20100730,7.4536
20100730,626,2.7187,20100831,2.6158
20100730,440,28.1602,20100831,28.786
20100730,2356,7.4536,20100831,7.9279
20100831,626,2.6158,20100930,2.9064
20100831,440,28.786,20100930,36.0488
20100831,2356,7.9279,20100930,9.8927
20100930,626,2.9064,20101029,3.1002
20100930,440,36.0488,20101029,33.2666
20100930,5,48.6441,20101029,49.7747
20101029,440,33.2666,20101130,33.644
20101029,626,3.1002,20101130,3.3908
20101029,2356,9.4566,20101130,9.7523
20101130,440,33.644,20101231,32.1771
20101130,626,3.3908,20101231,3.3484
20101130,5,48.9544,20101231,48.9236
20101231,440,32.1771,20110131,34.2994
20101231,5,48.9236,20110131,52.1257
20101231,2356,9.5544,20110131,9.6957
20110131,440,34.2994,20110228,31.2408
20110131,5,52.1257,20110228,54.6196
20110131,998,3.0465,20110228,2.962
20110228,440,31.2408,20110331,29.8052
20110228,2356,9.0738,20110331,8.4944
20110228,998,2.962,20110331,3.4085
20110331,440,29.8052,20110429,30.367
20110331,5,51.0799,20110429,52.6995
20110331,2356,8.4944,20110429,8.6357
20110429,440,30.367,20110531,27.9535
20110429,2356,8.6357,20110531,8.3766
20110429,5,52.6995,20110531,50.8946
20110531,440,27.9535,20110630,25.4412
20110531,2356,8.3766,20110630,7.6582
20110531,5,50.8946,20110630,48.2556
20110630,440,25.4412,20110729,24.1055
20110630,2356,7.6582,20110729,7.4714
20110630,5,48.2556,20110729,48.3813
20110729,440,24.1055,20110831,19.6533
20110729,2356,7.4714,20110831,6.3004
20110729,5,48.3813,20110831,42.206
20110831,440,19.6533,20110930,14.1612
20110831,2356,6.3004,20110930,4.9527
20110831,5,42.206,20110930,39.5403
20110930,440,14.1612,20111031,16.0878
20110930,2356,4.9527,20111031,5.8011
20110930,3618,1.5061,20111031,2.2253
20111031,440,16.0878,20111130,13.6474
20111031,2356,5.8011,20111130,4.8294
20111031,3988,1.6419,20111130,1.4107
20111130,440,13.6474,20111230,14.9639
20111130,2356,4.8294,20111230,4.8584
20111130,3988,1.4107,20111230,1.6651
20111230,440,14.9639,20120131,16.7943
20111230,2356,4.8584,20120131,5.511
20111230,5,37.9689,20120131,41.7593
20120131,440,16.7943,20120229,19.4274
20120131,2356,5.511,20120229,6.0041
20120131,5,41.7593,20120229,44.5219
20120229,440,19.4274,20120330,17.6613
20120229,2356,6.0041,20120330,5.627
20120229,5,44.5219,20120330,44.4368
20120330,440,17.6613,20120430,17.9824
20120330,2356,5.627,20120430,5.8011
20120330,3988,1.7865,20120430,1.8616
20120430,440,17.9824,20120531,15.0293
20120430,2356,5.8011,20120531,5.0591
20120430,3618,2.2192,20120531,2.0525
20120531,440,15.0293,20120629,15.3611
20120531,2356,5.0591,20120629,5.1263
20120531,998,2.5224,20120629,2.561
20120629,440,15.3611,20120731,16.3232
20120629,2356,5.1263,20120731,5.3576
20120629,998,2.561,20120731,2.5144
20120731,440,16.3232,20120831,17.1858
20120731,2356,5.3576,20120831,5.2382
20120731,3618,1.9165,20120831,1.9813
20120831,440,17.1858,20120928,17.8136
20120831,2356,5.2382,20120928,5.3953
20120831,998,2.4346,20120928,2.408
20120928,440,17.8136,20121031,19.6252
20120928,2356,5.3953,20121031,5.7802
20120928,998,2.408,20121031,2.6076
20121031,440,19.6252,20121130,20.7994
20121031,2356,5.7802,20121130,5.9915
20121031,998,2.6076,20121130,2.6475
20121130,440,20.7994,20121231,23.1141
20121130,2356,5.9915,20121231,6.3612
20121130,998,2.6475,20121231,3.0133
20121231,440,23.1141,20130131,27.3075
20121231,2356,6.3612,20130131,7.2365
20121231,998,3.0133,20130131,3.5588
20130131,440,27.3075,20130228,27.8443
20130131,2356,7.2365,20130228,7.2365
20130131,998,3.5588,20130228,3.2195
20130228,440,27.8443,20130328,27.8778
20130228,2356,7.2365,20130328,7.9685
20130228,998,3.2195,20130328,3.1863
20130328,440,27.8778,20130430,27.5088
20130328,2356,7.9685,20130430,8.542
20130328,998,3.1863,20130430,2.8537
20130430,440,27.5088,20130531,23.9478
20130430,2356,8.542,20130531,7.4705
20130430,998,2.8537,20130531,2.9193
20130531,440,23.9478,20130628,21.6769
20130531,2356,7.4705,20130628,7.0378
20130531,998,2.9193,20130628,2.4606
20130628,440,21.6769,20130731,22.0554
20130628,2356,7.0378,20130731,7.0147
20130628,998,2.4606,20130731,2.4884
20130731,440,22.0554,20130830,25.1521
20130731,2356,7.0147,20130830,8.4979
20130731,998,2.4884,20130830,2.544
20130830,440,25.1521,20130930,31.3965
20130830,998,2.544,20130930,2.7872
20130830,3328,3.3536,20130930,3.8118
20130930,440,31.3965,20131031,34.0678
20130930,998,2.7872,20131031,2.9888
20130930,3618,2.501,20131031,2.6578
20131031,998,2.9888,20131129,3.1209
20131031,440,34.0678,20131129,31.2924
20131031,3618,2.6578,20131129,2.7464
20131129,440,31.2924,20131231,31.3271
20131129,998,3.1209,20131231,2.8846
20131129,3328,3.8583,20131231,3.5794
20131231,440,31.3271,20140130,25.7763
20131231,998,2.8846,20140130,2.6204
20131231,3618,2.5419,20140130,2.208
20140130,440,25.7763,20140228,27.5109
20140130,998,2.6204,20140228,3.0514
20140130,3618,2.208,20140228,2.2421
20140228,440,27.5109,20140331,25.2559
20140228,3618,2.2421,20140331,2.3307
20140228,998,3.0514,20140331,3.0653
20140331,440,25.2559,20140430,25.4183
20140331,3618,2.3307,20140430,2.3102
20140331,3328,3.3801,20140430,3.2075
20140430,440,25.4183,20140530,29.9081
20140430,3328,3.2075,20140530,3.4133
20140430,3618,2.3102,20140530,2.4397
20140530,440,29.9081,20140630,30.5309
20140530,3618,2.4397,20140630,2.6008
20140530,998,3.3858,20140630,3.4602
20140630,440,30.5309,20140731,32.5663
20140630,3618,2.6008,20140731,2.8193
20140630,3328,3.5661,20140731,4.1836
20140731,440,32.5663,20140829,32.3812
20140731,3618,2.8193,20140829,2.7829
20140731,998,3.8918,20140829,3.6612
20140829,440,32.3812,20140930,35.7428
20140829,3618,2.7829,20140930,2.5862
20140829,998,3.6612,20140930,3.6016
20140930,3618,2.5862,20141031,2.6663
20140930,440,35.7428,20141031,35.4822
20140930,998,3.6016,20141031,3.7058
20141031,3618,2.6663,20141128,3.118
20141031,440,35.4822,20141128,35.2216
20141031,998,3.7058,20141128,3.9886
20141128,440,35.2216,20141231,33.5089
20141128,3618,3.118,20141231,3.4459
20141128,3328,4.2894,20141231,5.0936
20141231,440,33.5089,20150130,32.5781
20141231,3618,3.4459,20150130,3.4167
20141231,1963,4.4578,20150130,4.7449
20150130,440,32.5781,20150227,33.9929
20150130,998,4.2788,20150227,4.4127
20150130,3328,4.5927,20150227,4.7409
20150227,440,33.9929,20150331,34.6631
20150227,998,4.4127,20150331,4.502
20150227,3328,4.7409,20150331,4.7127
20150331,440,34.6631,20150430,40.8808
20150331,998,4.502,20150430,5.2908
20150331,3328,4.7127,20150430,5.6439
20150430,440,40.8808,20150529,42.4446
20150430,3328,5.6439,20150529,5.4344
20150430,998,5.2908,20150529,4.9336
20150529,440,42.4446,20150630,37.9533
20150529,3328,5.4344,20150630,5.7441
20150529,998,4.9336,20150630,4.5095
20150630,440,37.9533,20150731,38.976
20150630,998,4.5095,20150731,4.1374
20150630,6818,3.4167,20150731,3.1839
20150731,440,38.976,20150831,32.802
20150731,998,4.1374,20150831,3.557
20150731,3328,5.0215,20150831,4.1809
20150831,440,32.802,20150930,32.0169
20150831,998,3.557,20150930,3.3337
20150831,6818,2.6733,20150930,2.5381
20150930,440,32.0169,20151030,33.5815
20150930,998,3.3337,20151030,3.7802
20150930,3328,3.9375,20151030,4.2177
20151030,440,33.5815,20151130,31.101
20151030,998,3.7802,20151130,3.676
20151030,3328,4.2177,20151130,4.0555
20151130,440,31.101,20151231,29.5746
20151130,998,3.676,20151231,3.7207
20151130,3328,4.0555,20151231,3.9892
20151231,440,29.5746,20160129,27.1704
20151231,998,3.7207,20160129,3.2742
20151231,3328,3.9892,20160129,3.355
20160129,440,27.1704,20160229,32.1313
20160129,3328,3.355,20160229,3.3034
20160129,3988,2.1583,20160229,2.1436
20160229,3328,3.3034,20160331,3.709
20160229,440,32.1313,20160331,36.1001
20160229,998,3.2668,20160331,3.5347
20160331,3328,3.709,20160429,3.7016
20160331,998,3.5347,20160429,3.6835
20160331,440,36.1001,20160429,40.4504
20160429,3328,3.7016,20160531,3.5025
20160429,3988,2.3425,20160531,2.3277
20160429,998,3.6835,20160531,3.5207
20160531,3328,3.5025,20160630,3.8313
20160531,998,3.5207,20160630,3.6936
20160531,3988,2.3277,20160630,2.4274
20160630,3328,3.8313,20160729,4.146
20160630,998,3.6936,20160729,3.8979
20160630,3988,2.4274,20160729,2.522
20160729,3328,4.146,20160831,4.6338
20160729,3988,2.522,20160831,2.7427
20160729,998,3.8979,20160831,3.9922
20160831,998,3.9922,20160930,4.0865
20160831,440,40.8423,20160930,40.1263
20160831,3988,2.7427,20160930,2.7979
20160930,440,40.1263,20161031,41.1041
20160930,998,4.0865,20161031,3.9372
20160930,3988,2.7979,20161031,2.6954
20161031,998,3.9372,20161130,4.0079
20161031,3988,2.6954,20161130,2.7821
20161031,6818,2.832,20161130,2.9603
20161130,998,4.0079,20161230,3.8665
20161130,440,40.8694,20161230,40.8303
20161130,3988,2.7821,20161230,2.6796
20161230,998,3.8665,20170127,4.0236
20161230,3988,2.6796,20170127,2.7979
20161230,3328,4.3663,20170127,4.5
20170127,998,4.0236,20170228,4.1887
20170127,3988,2.7979,20170228,3.1052
20170127,3328,4.5,20170228,4.8777
20170228,2888,67.297,20170331,70.8364
20170228,998,4.1887,20170331,4.0551
20170228,3328,4.8777,20170331,4.7361
20170331,998,4.0551,20170428,3.8822
20170331,2888,70.8364,20170428,70.3103
20170331,3328,4.7361,20170428,4.7597
20170428,998,3.8822,20170531,4.0046
20170428,2888,70.3103,20170531,69.832
20170428,6818,2.8962,20170531,2.9443
20170531,998,4.0046,20170630,3.9798
20170531,2888,69.832,20170630,74.7107
20170531,6818,2.9443,20170630,3.0205
20170630,998,3.9798,20170731,4.1945
20170630,3328,4.5705,20170731,4.7945
20170630,1963,5.4687,20170731,5.8996
20170731,998,4.1945,20170831,4.2358
20170731,3328,4.7945,20170831,5.0018
20170731,440,48.2899,20170831,50.4568
20170831,998,4.2358,20170929,4.1037
20170831,440,50.4568,20170929,46.5263
20170831,3328,5.0018,20170929,4.7032
20170929,998,4.1037,20171031,4.1945
20170929,440,46.5263,20171031,47.1935
20170929,1988,5.1209,20171031,5.3048
20171031,440,47.1935,20171130,44.4802
20171031,998,4.1945,20171130,4.1284
20171031,6818,3.0784,20171130,3.0205
20171130,440,44.4802,20171229,44.4802
20171130,998,4.1284,20171229,4.0789
20171130,1963,5.4072,20171229,5.4512
20171229,440,44.4802,20180131,46.7042
20171229,998,4.0789,20180131,5.2762
20171229,1963,5.4512,20180131,6.1721
20180131,440,46.7042,20180228,46.2149
20180131,1963,6.1721,20180228,5.8468
20180131,3328,5.5244,20180228,5.2341
20180228,440,46.2149,20180329,44.1689
20180228,1963,5.8468,20180329,5.3369
20180228,998,4.756,20180329,4.4835
20180329,440,44.1689,20180430,46.2594
20180329,1963,5.3369,20180430,5.1434
20180329,998,4.4835,20180430,4.6073
20180430,1963,5.1434,20180531,4.9588
20180430,440,46.2594,20180531,46.1705
20180430,1988,5.2058,20180531,5.1634
20180531,1963,4.9588,20180629,4.4379
20180531,998,4.577,20180629,4.2356
20180531,440,46.1705,20180629,41.164
20180629,1988,4.7593,20180731,5.018
20180629,1963,4.4379,20180731,4.5373
20180629,440,41.164,20180731,45.7024
20180731,1963,4.5373,20180831,4.3566
20180731,998,4.3319,20180831,4.2882
20180731,440,45.7024,20180831,44.8401
20180831,1963,4.3566,20180928,4.3656
20180831,440,44.8401,20180928,45.5738
20180831,1988,4.8714,20180928,5.0094
20180928,1963,4.3656,20181031,4.0583
20180928,440,45.5738,20181031,37.9324
20180928,3618,3.8123,20181031,3.7069
20181031,1963,4.0583,20181130,4.2842
20181031,440,37.9324,20181130,39.3966
20181031,998,4.2181,20181130,4.3844
20181130,1963,4.2842,20181231,4.1577
20181130,440,39.3966,20181231,35.6903
20181130,998,4.3844,20181231,4.1219
20181231,440,35.6903,20190131,39.3051
20181231,1963,4.1577,20190131,4.1487
20181231,1988,4.6472,20190131,5.0697
20190131,1963,4.1487,20190228,4.7362
20190131,440,39.3051,20190228,38.8018
20190131,998,4.3932,20190228,4.5332
20190228,440,38.8018,20190329,36.9715
20190228,1963,4.7362,20190329,4.4921
20190228,998,4.5332,20190329,4.3844
20190329,440,36.9715,20190430,37.8409
20190329,1963,4.4921,20190430,4.7091
20190329,998,4.3844,20190430,4.3932
20190430,440,37.8409,20190531,34.8576
20190430,1963,4.7091,20190531,4.2481
20190430,998,4.3932,20190531,4.0894
20190531,440,34.8576,20190628,34.2452
20190531,1963,4.2481,20190628,4.388
20190531,998,4.0894,20190628,4.1172
20190628,440,34.2452,20190731,33.4444
20190628,1963,4.388,20190731,4.3505
20190628,998,4.1172,20190731,4.0801
20190731,440,33.4444,20190830,27.5563
20190731,1963,4.3505,20190830,3.9942
20190731,998,4.0801,20190830,3.7834
20190830,440,27.5563,20190930,27.0597
20190830,1963,3.9942,20190930,4.1349
20190830,998,3.7834,20190930,3.8576
20190930,440,27.0597,20191031,27.6324
20190930,1963,4.1349,20191031,4.2755
20190930,998,3.8576,20191031,4.1728
20191031,440,27.6324,20191129,27.537
20191031,1963,4.2755,20191129,4.3036
20191031,998,4.1728,20191129,4.0616
20191129,440,27.537,20191231,29.3982
20191129,1963,4.3036,20191231,4.3599
20191129,998,4.0616,20191231,4.3954
20191231,440,29.3982,20200131,26.8688
20191231,1963,4.3599,20200131,3.863
20191231,998,4.3954,20200131,3.8576
20200131,440,26.8688,20200228,26.2484
20200131,1963,3.863,20200228,3.9849
20200131,998,3.8576,20200228,3.8112
20200228,440,26.2484,20200331,20.5215
20200228,1963,3.9849,20200331,3.6192
20200228,998,3.8112,20200331,3.533
20200331,440,20.5215,20200429,24.0531
20200331,1963,3.6192,20200429,3.8911
20200331,3618,2.9081,20200429,3.0465
20200429,440,24.0531,20200529,20.5692
20200429,1963,3.8911,20200529,3.8
20200429,998,3.5145,20200529,3.35
20200529,440,20.5692,20200630,21.95
20200529,1963,3.8,20200630,3.92
20200529,998,3.35,20200630,3.43
20200630,440,21.95,20200731,21.8
20200630,1963,3.92,20200731,4.07
20200630,998,3.43,20200731,3.41
