,time_x,高股息策略净值,指数
0,20100129,1.0284898190708442,1.0021372164474898
1,20100226,1.0863298832973403,0.9163015244743832
2,20100331,1.1053562596200435,0.9559748081685496
3,20100430,1.0201497463021487,0.9806298141235992
4,20100531,1.0449998264473734,0.9535318166523178
5,20100630,1.137174455399394,0.8985555680860682
6,20100730,1.1122614403357323,0.9195972020893561
7,20100831,1.192288774679731,0.9728612019573273
8,20100930,1.2191138737038467,0.9430213144018683
9,20101029,1.1831837602280386,1.0334170432696936
10,20101130,1.2141627500434884,1.0712130422464703
11,20101231,1.1760289493072373,1.0531956932933946
12,20110131,1.0865033171275797,1.0606149792192145
13,20110228,1.1207095883819904,1.0751005573633112
14,20110331,1.140184551357084,1.0689731367204227
15,20110429,1.0996979949274002,1.0848587704266457
16,20110531,1.0892809101773921,1.0908358249187886
17,20110630,1.0741292715716646,1.0858806184449756
18,20110729,0.9368010094834213,1.0458355452744228
19,20110831,0.7212687905087758,1.042456891216508
20,20110930,0.9179816254649341,0.9530930959015139
21,20111031,0.8095597991861776,0.7875518831985082
22,20111130,0.7846522672146,0.8921608807788968
23,20111230,0.8497061125577042,0.8725802739781291
24,20120131,1.0728366903589401,0.8605088060469198
25,20120229,0.9504909027515955,0.934959763301674
26,20120330,0.9417614405653667,0.9892162714512442
27,20120430,0.8553598180593207,0.9472595310593205
28,20120531,0.838311815261535,0.9739637342516672
29,20120629,0.8449694921212515,0.8480517956377314
30,20120731,0.8976521107407779,0.9061123840278141
31,20120831,0.8763605942507934,0.9006822405656701
32,20120928,1.0199256433157355,0.8900309992655897
33,20121031,1.0220543953242778,0.9604812083570574
34,20121130,1.1172399854805901,0.9890209788286295
35,20121231,1.1466280262742177,1.0117826548977649
36,20130131,1.1424798141125319,1.0479901821905966
37,20130228,1.120834893019734,1.089390842884793
38,20130328,1.0995487168869857,1.0524296511046871
39,20130430,1.1105830535961574,1.0179022821730843
40,20130531,1.0189479185112138,1.0402921687658333
41,20130628,1.0612068389230929,1.022383468525339
42,20130731,1.11337784336498,0.9629191571060385
43,20130830,1.1365541476537993,1.0097339160938543
44,20130930,1.153062769785171,1.0062026037182616
45,20131031,1.1791415727013712,1.0542688858510036
46,20131129,1.1678203800488316,1.0639688778742629
47,20131231,1.1388580881258443,1.0973130302355156
48,20140130,1.1499741032404918,1.075152818769363
49,20140228,1.1710543986806523,0.9884603147970379
50,20140331,1.17768897833642,1.0374700528390322
51,20140430,1.2036392300079093,1.02195437487565
52,20140530,1.209080476709719,1.0174773144238731
53,20140630,1.2680344990801242,1.0694109406044536
54,20140731,1.2706932982167356,1.0693660141325845
55,20140829,1.1891857123666485,1.1274816145290376
56,20140930,1.2076197298384186,1.1325019185437224
57,20141031,1.2284883298412195,1.0402582446952382
58,20141128,1.2234830427663936,1.1063579209495806
59,20141231,1.2728551933621428,1.0854785723650855
60,20150130,1.279936312722325,1.0857366703616398
61,20150227,1.383883864887829,1.1161601436180113
62,20150331,1.5688849898921813,1.1459349336325986
63,20150430,1.6289800945135136,1.1440296844786375
64,20150529,1.5643436920335854,1.2942152124701216
65,20150630,1.576810896889874,1.2548724592475642
66,20150731,1.4868820509113514,1.2129886097640812
67,20150831,1.3925909642870593,1.1246810449713984
68,20150930,1.544550228994623,0.9944694596262301
69,20151030,1.5174119841331182,0.970638258466577
70,20151130,1.5152904321461316,1.0315796422569226
71,20151231,1.4294824116324707,1.0176217209405953
72,20160129,1.4725692152297716,0.9985880251698267
73,20160229,1.4736537547945683,0.9063668145572772
74,20160331,1.5084775315295298,0.8829422438113786
75,20160429,1.4870191320822537,0.9529078888134003
76,20160531,1.4920543049007904,0.9655418545097468
77,20160630,1.555504529286031,0.9501733336634054
78,20160729,1.5963771432608556,0.961218827675807
79,20160831,1.6229412861450498,1.009821018437274
80,20160930,1.5964032541821025,1.0496822598198725
81,20161031,1.6038441370874048,1.0843246955314665
82,20161130,1.5759007762738069,1.0550871894457634
83,20161230,1.6232031504828706,1.0520427333265487
84,20170127,1.6756249271276544,1.0082490503552402
85,20170228,1.6732343945966492,1.06411007535728
86,20170331,1.6646663185855533,1.0933278688073673
87,20170428,1.6582395656116888,1.1110848275969565
88,20170531,1.6663311499719342,1.13571370284898
89,20170630,1.7389064625664983,1.1798402084588295
90,20170731,1.8177865956088304,1.1761003088924158
91,20170831,1.8296745666713121,1.252716905464618
92,20170929,1.838305571676213,1.2843112175899059
93,20171031,1.8372571418517842,1.2783052817944183
94,20171130,1.865103188534181,1.3013800678664786
95,20171229,1.9355715403575808,1.3414361434383055
96,20180131,1.883970498864413,1.3765970673099406
97,20180228,1.8240267133630426,1.5105517612552275
98,20180329,1.7840342569823626,1.3971669733586023
99,20180430,1.8132346522003013,1.3719939376768981
100,20180531,1.7950618465740897,1.411159277178911
101,20180629,1.795151219120949,1.4004580666397108
102,20180731,1.7496375303676672,1.3118988219178838
103,20180831,1.742794761346775,1.3183040531929429
104,20180928,1.6415744171401252,1.2748780337975432
105,20181031,1.723212025354915,1.2706013087356316
106,20181130,1.6579591845304154,1.1565701297641544
107,20181231,1.7829213880783148,1.2462814175860548
108,20190131,1.8463972217216573,1.1838785481598026
109,20190228,1.8114554657294388,1.2924740824684988
110,20190329,1.784882463173112,1.316464818446626
111,20190430,1.6772483774617848,1.3470478265214718
112,20190531,1.6905545703257636,1.3589363795314995
113,20190628,1.6746320660710983,1.2336309482877972
114,20190731,1.55691441154225,1.3250576938416812
115,20190830,1.5383830307238753,1.2644605935245368
116,20190930,1.5791648460684395,1.1748652893494007
117,20191031,1.6257707638519765,1.1874098605353953
118,20191129,1.7185792746142163,1.2288967067062386
119,20191231,1.5853016147307062,1.2137179772818751
120,20200131,1.6209760452632416,1.2950454353329282
121,20200228,1.495931085832042,1.200619160131699
122,20200331,1.5123773766690412,1.1954902074044327
123,20200429,1.4317405419646974,1.0711708663749198
124,20200529,1.458218369372746,1.0954316196176483
125,20200630,1.468711662817124,1.0791480657320127
